"","gene2","cluster","avg_log2FC","gene"
"48041","MIR4426","U3",-1.043966777,"ENSG00000283795"
"48042","MIR4458HG","U3",-1.956879912,"ENSG00000247516"
"48044","MIR4714","U3",-1.664255609,"ENSG00000264480"
"48045","MIR568","U3",-2.750516118,"ENSG00000284134"
"48046","MIR6723","U3",-1.413202922,NA
"48047","MIS18A","U3",1.390203219,"ENSG00000159055"
"48048","MITD1","U3",-3.474954391,"ENSG00000158411"
"48049","MKL1","U3",2.437392793,"ENSG00000196588"
"48050","MKL2","U3",-3.97490918,"ENSG00000186260"
"48051","MKLN1","U3",-1.221147587,"ENSG00000128585"
"48052","MKNK2","U3",-1.532132705,"ENSG00000099875"
"48053","MKRN1","U3",-3.681757969,"ENSG00000133606"
"48054","MKRN2","U3",-2.820977139,"ENSG00000075975"
"48055","MKS1","U3",-2.357697127,"ENSG00000011143"
"48056","MLEC","U3",-2.933299474,"ENSG00000110917"
"48057","MLF1","U3",-3.157831823,"ENSG00000178053"
"48058","MLF2","U3",-3.044688861,"ENSG00000089693"
"48060","MLH3","U3",-3.829114088,"ENSG00000119684"
"48061","MLLT1","U3",-1.934428333,"ENSG00000130382"
"48062","MLLT10","U3",-2.678313953,"ENSG00000078403"
"48063","MLLT11","U3",-4.32541434,"ENSG00000213190"
"48064","MLLT3","U3",-3.485899123,"ENSG00000171843"
"48065","MLLT4","U3",-3.047393641,"ENSG00000130396"
"48066","MLST8","U3",-2.102376933,"ENSG00000167965"
"48067","MLX","U3",-3.067546847,"ENSG00000108788"
"48068","MLXIP","U3",-2.016469191,"ENSG00000175727"
"48069","MMGT1","U3",-3.36913076,"ENSG00000169446"
"48071","MMP24.AS1","U3",-1.92266486,NA
"48072","MMS22L","U3",1.206396899,"ENSG00000146263"
"48073","MN1","U3",-5.110036315,"ENSG00000169184"
"48074","MNAT1","U3",-3.824162791,"ENSG00000020426"
"48075","MOAP1","U3",1.201489615,"ENSG00000165943"
"48076","MOB1A","U3",-4.338085573,"ENSG00000114978"
"48077","MOB1B","U3",-4.341154208,"ENSG00000173542"
"48078","MOB3B","U3",-3.269364314,"ENSG00000120162"
"48079","MOB4","U3",-3.843230777,"ENSG00000115540"
"48080","MOCS3","U3",-2.020722615,"ENSG00000124217"
"48081","MOK","U3",-2.580127904,"ENSG00000080823"
"48082","MON2","U3",-4.660064317,"ENSG00000061987"
"48083","MORC3","U3",-2.035494955,"ENSG00000159256"
"48084","MORC4","U3",-2.686289518,"ENSG00000133131"
"48085","MORF4L1","U3",-1.764596767,"ENSG00000185787"
"48086","MORF4L1P1","U3",-3.79620416,NA
"48087","MORF4L2","U3",1.371045305,"ENSG00000123562"
"48088","MORN2","U3",-2.506739901,"ENSG00000188010"
"48089","MOSPD1","U3",-3.612516669,"ENSG00000101928"
"48090","MOSPD2","U3",-3.642662423,"ENSG00000130150"
"48092","MPC2","U3",-2.537256716,"ENSG00000143158"
"48093","MPDZ","U3",-4.494415762,"ENSG00000107186"
"48094","MPHOSPH10","U3",-1.169144816,"ENSG00000124383"
"48095","MPHOSPH6","U3",-2.271114018,"ENSG00000135698"
"48096","MPP3","U3",-2.964550968,"ENSG00000161647"
"48097","MPP5","U3",-3.34437994,"ENSG00000072415"
"48098","MPP6","U3",-4.185886349,"ENSG00000135698"
"48099","MPPED2","U3",-4.748838974,"ENSG00000066382"
"48101","MPRIP","U3",-3.315753667,"ENSG00000133030"
"48102","MPZL1","U3",-1.877023479,"ENSG00000197965"
"48103","MRFAP1","U3",-3.486618583,"ENSG00000179010"
"48104","MRFAP1L1","U3",-4.514160668,"ENSG00000178988"
"48105","MRGBP","U3",-1.584425487,"ENSG00000101189"
"48106","MROH1","U3",-1.28329464,"ENSG00000179832"
"48107","MRPL10","U3",2.579892804,"ENSG00000159111"
"48108","MRPL1","U3",-3.165537585,"ENSG00000169288"
"48109","MRPL13","U3",-3.458278472,"ENSG00000172172"
"48110","MRPL14","U3",-3.115657891,"ENSG00000180992"
"48111","MRPL15","U3",-3.353302322,"ENSG00000137547"
"48112","MRPL16","U3",-3.198592565,"ENSG00000166902"
"48113","MRPL18","U3",-3.114768943,"ENSG00000112110"
"48114","MRPL20","U3",-3.002400727,"ENSG00000242485"
"48115","MRPL21","U3",-3.103691092,"ENSG00000197345"
"48116","MRPL22","U3",-3.567243066,"ENSG00000082515"
"48117","MRPL24","U3",-2.814339794,"ENSG00000143314"
"48118","MRPL28","U3",-1.94175306,"ENSG00000086504"
"48120","MRPL33","U3",-2.308546557,"ENSG00000243147"
"48121","MRPL39","U3",-3.496032943,"ENSG00000154719"
"48122","MRPL40","U3",1.581889527,"ENSG00000185608"
"48124","MRPL43","U3",-3.110998132,"ENSG00000055950"
"48125","MRPL44","U3",-3.24185875,"ENSG00000135900"
"48126","MRPL47","U3",-4.001038352,"ENSG00000136522"
"48127","MRPL48","U3",-3.553189095,"ENSG00000175581"
"48128","MRPL49","U3",-2.720322437,"ENSG00000149792"
"48129","MRPL50","U3",-3.830202185,"ENSG00000136897"
"48130","MRPL51","U3",-3.517461466,"ENSG00000111639"
"48131","MRPL52","U3",2.742467941,"ENSG00000172590"
"48132","MRPL54","U3",-1.629865451,"ENSG00000183617"
"48134","MRPL9","U3",1.348639454,"ENSG00000143436"
"48135","MRPS10","U3",-4.061848603,"ENSG00000048544"
"48136","MRPS14","U3",-3.735605508,"ENSG00000120333"
"48138","MRPS16","U3",-3.453201251,"ENSG00000182180"
"48139","MRPS17","U3",-2.362464217,"ENSG00000239789"
"48140","MRPS18A","U3",-2.310414299,"ENSG00000096080"
"48141","MRPS18B","U3",-1.879935593,"ENSG00000204568"
"48142","MRPS21","U3",-3.562428383,"ENSG00000266472"
"48144","MRPS25","U3",1.720881324,"ENSG00000131368"
"48145","MRPS27","U3",-3.435222361,"ENSG00000113048"
"48146","MRPS30","U3",-3.469713759,"ENSG00000112996"
"48147","MRPS31P5","U3",-2.068744991,"ENSG00000243406"
"48148","MRPS35","U3",-4.065883971,"ENSG00000061794"
"48149","MRPS36","U3",-2.280007027,"ENSG00000134056"
"48150","MRPS5","U3",-3.174486661,"ENSG00000144029"
"48151","MRPS6","U3",-2.992452431,"ENSG00000243927"
"48152","MRRF","U3",-3.48981039,"ENSG00000148187"
"48153","MSANTD2","U3",-3.091412294,"ENSG00000120458"
"48154","MSANTD3","U3",-2.472125157,"ENSG00000066697"
"48155","MSANTD4","U3",-3.661806139,"ENSG00000170903"
"48156","MSH2","U3",-4.003229466,"ENSG00000095002"
"48157","MSH6","U3",1.583142874,"ENSG00000116062"
"48159","MSI2","U3",-4.226045032,"ENSG00000153944"
"48160","MSL1","U3",-3.394119194,"ENSG00000188895"
"48161","MSL2","U3",-2.087324282,"ENSG00000174579"
"48163","MSN","U3",-4.074590649,"ENSG00000147065"
"48164","MSRA","U3",-4.376763708,"ENSG00000175806"
"48165","MSRB2","U3",-1.163007095,"ENSG00000148450"
"48166","MSTO1","U3",-1.290731386,"ENSG00000125459"
"48167","MSX1","U3",3.525615635,"ENSG00000163132"
"48168","MT.ATP8","U3",-2.280930382,NA
"48169","MT.CO1","U3",-1.058532999,NA
"48170","MT.CO2","U3",-1.323105305,NA
"48173","MT.ND2","U3",-1.004748942,NA
"48174","MT.ND3","U3",-1.435970682,NA
"48177","MT.ND5","U3",-3.449940464,NA
"48178","MT.ND6","U3",-3.869386573,NA
"48179","MT.RNR1","U3",1.145031086,NA
"48181","MT.TL1","U3",3.556584003,NA
"48182","MT.TP","U3",-1.691362221,NA
"48184","MT.TV","U3",1.188172088,NA
"48185","MTA2","U3",1.537885415,"ENSG00000149480"
"48186","MTA3","U3",-2.996446859,"ENSG00000057935"
"48187","MTCH1","U3",-2.214707813,"ENSG00000137409"
"48188","MTCH2","U3",-4.207320612,"ENSG00000109919"
"48189","MTCL1","U3",-3.225714981,"ENSG00000168502"
"48191","MTERF","U3",-3.478023148,"ENSG00000127989"
"48192","MTERFD2","U3",-3.427140581,"ENSG00000122085"
"48193","MTF1","U3",-3.271143519,"ENSG00000188786"
"48194","MTF2","U3",-4.474238226,"ENSG00000143033"
"48195","MTFMT","U3",3.027167877,"ENSG00000103707"
"48197","MTFR1L","U3",-3.848551232,"ENSG00000117640"
"48198","MTHFD1","U3",-3.605552096,"ENSG00000100714"
"48199","MTHFD2","U3",-2.038223901,"ENSG00000065911"
"48200","MTHFD2L","U3",-2.788658194,"ENSG00000163738"
"48201","MTHFR","U3",-2.241471907,"ENSG00000177000"
"48202","MTMR2","U3",-3.875461789,"ENSG00000087053"
"48203","MTMR3","U3",-1.867758083,"ENSG00000100330"
"48204","MTMR4","U3",-3.973089703,"ENSG00000108389"
"48205","MTMR6","U3",-3.857442115,"ENSG00000139505"
"48206","MTMR7","U3",-3.228082312,"ENSG00000003987"
"48207","MTMR9","U3",-4.398083449,"ENSG00000104643"
"48208","MTND1P23","U3",-3.196464744,"ENSG00000225972"
"48209","MTND2P28","U3",-1.389280815,"ENSG00000225630"
"48211","MTO1","U3",-1.091278624,"ENSG00000135297"
"48212","MTOR","U3",-2.491867869,"ENSG00000198793"
"48213","MTPAP","U3",1.248537688,"ENSG00000107951"
"48214","MTPN","U3",-1.139093594,"ENSG00000105887"
"48215","MTR","U3",-3.652560019,"ENSG00000116984"
"48216","MTRF1L","U3",-2.549799267,"ENSG00000112031"
"48217","MTRNR2L10","U3",2.024216707,NA
"48218","MTRNR2L12","U3",1.256674542,NA
"48219","MTRNR2L1","U3",1.749070727,NA
"48221","MTRR","U3",2.712697401,"ENSG00000124275"
"48222","MTSS1","U3",-5.13491946,"ENSG00000170873"
"48223","MTURN","U3",-3.852486527,"ENSG00000180354"
"48224","MTUS1","U3",-3.682159664,"ENSG00000129422"
"48225","MTX2","U3",-3.455700643,"ENSG00000128654"
"48226","MTX3","U3",1.280411083,"ENSG00000177034"
"48227","MUL1","U3",-2.294916594,"ENSG00000090432"
"48228","MVB12B","U3",-2.625030599,"ENSG00000196814"
"48229","MXD4","U3",-1.877306122,"ENSG00000123933"
"48230","MXI1","U3",-4.42205462,"ENSG00000119950"
"48231","MYADM","U3",-2.976938147,"ENSG00000179820"
"48232","MYC","U3",-2.52206395,"ENSG00000136997"
"48233","MYCBP2","U3",-3.897620998,"ENSG00000005810"
"48234","MYD88","U3",-2.701789519,"ENSG00000172936"
"48235","MYEF2","U3",-4.446742985,"ENSG00000104177"
"48236","MYEOV2","U3",-2.947312566,"ENSG00000172428"
"48237","MYH10","U3",-4.931694609,"ENSG00000133026"
"48238","MYL12A","U3",-3.379134018,"ENSG00000101608"
"48239","MYL12B","U3",-4.035583422,"ENSG00000118680"
"48240","MYL6","U3",-3.003204814,"ENSG00000092841"
"48241","MYLIP","U3",-2.895012413,"ENSG00000007944"
"48243","MYO18A","U3",-2.194402649,"ENSG00000196535"
"48244","MYO19","U3",-2.516671837,"ENSG00000278259"
"48245","MYO1B","U3",2.277953511,"ENSG00000128641"
"48246","MYO5A","U3",-4.353528968,"ENSG00000197535"
"48247","MYO6","U3",-4.297656324,"ENSG00000196586"
"48248","MYO9B","U3",-3.121672963,"ENSG00000099331"
"48249","MYSM1","U3",-3.811937128,"ENSG00000162601"
"48250","MYT1L","U3",-4.706524655,"ENSG00000186487"
"48251","MZT2B","U3",2.248057073,"ENSG00000152082"
"48252","N4BP1","U3",-1.726928204,"ENSG00000102921"
"48253","N4BP2","U3",-4.949197083,"ENSG00000078177"
"48255","N6AMT2","U3",-1.980706419,"ENSG00000150456"
"48257","NAA16","U3",-1.7392603,"ENSG00000172766"
"48258","NAA25","U3",-3.399721381,"ENSG00000111300"
"48260","NAA35","U3",-2.922374297,"ENSG00000135040"
"48261","NAA38","U3",-2.448649827,"ENSG00000183011"
"48262","NAA40","U3",-3.26516243,"ENSG00000110583"
"48263","NABP1","U3",-3.22565711,"ENSG00000173559"
"48265","NACA","U3",-2.708216399,"ENSG00000196531"
"48266","NACC2","U3",-1.318701792,"ENSG00000148411"
"48268","NADSYN1","U3",-3.124763034,"ENSG00000172890"
"48269","NAGK","U3",-3.073369455,"ENSG00000124357"
"48271","NAGPA","U3",-1.070934243,"ENSG00000103174"
"48272","NAIF1","U3",-1.806985828,"ENSG00000171169"
"48273","NAMPT","U3",-3.969296546,"ENSG00000105835"
"48274","NAMPTL","U3",-2.013387763,"ENSG00000229644"
"48275","NANS","U3",2.674472468,"ENSG00000095380"
"48277","NAP1L4","U3",-2.850511571,"ENSG00000205531"
"48278","NAPB","U3",-3.207479249,"ENSG00000125814"
"48279","NAPEPLD","U3",-3.212094265,"ENSG00000161048"
"48280","NAPG","U3",-3.788507242,"ENSG00000134265"
"48281","NARF","U3",-2.16337718,"ENSG00000141562"
"48282","NARS2","U3",-3.103469339,"ENSG00000137513"
"48283","NARS","U3",-3.679446012,"ENSG00000134440"
"48285","NAT10","U3",-3.915441455,"ENSG00000135372"
"48286","NAV1","U3",-2.176666461,"ENSG00000134369"
"48287","NAV2","U3",-4.131971337,"ENSG00000166833"
"48288","NAV3","U3",-4.157565405,"ENSG00000067798"
"48289","NBAS","U3",-3.820021471,"ENSG00000151779"
"48290","NBEA","U3",-5.045982087,"ENSG00000172915"
"48291","NBPF10","U3",-1.707884766,"ENSG00000271425"
"48292","NBPF1","U3",-3.298520588,"ENSG00000219481"
"48293","NBPF11","U3",-2.844615045,"ENSG00000263956"
"48294","NBPF12","U3",-2.634223922,"ENSG00000268043"
"48295","NBPF14","U3",-1.909702167,"ENSG00000270629"
"48296","NBPF15","U3",-3.273462003,"ENSG00000266338"
"48297","NBPF25P","U3",-1.418438335,"ENSG00000272150"
"48298","NBPF8","U3",-2.719491354,"ENSG00000270231"
"48299","NBPF9","U3",-2.910962723,"ENSG00000269713"
"48300","NBR1","U3",-3.995855272,"ENSG00000188554"
"48302","NCAM1","U3",-4.860027896,"ENSG00000149294"
"48303","NCAM2","U3",-3.174690232,"ENSG00000154654"
"48304","NCAN","U3",-4.121974891,"ENSG00000130287"
"48305","NCAPG2","U3",1.747771964,"ENSG00000146918"
"48306","NCAPG","U3",-4.031268512,"ENSG00000109805"
"48307","NCAPH2","U3",-1.707950801,"ENSG00000025770"
"48310","NCKAP5","U3",-3.259742791,"ENSG00000176771"
"48311","NCL","U3",-2.099206804,"ENSG00000115053"
"48312","NCOA1","U3",-4.091237044,"ENSG00000084676"
"48313","NCOA2","U3",-4.488776286,"ENSG00000140396"
"48314","NCOA3","U3",-4.459886558,"ENSG00000124151"
"48315","NCOA4","U3",-3.616969869,"ENSG00000266412"
"48316","NCOA5","U3",-3.79379372,"ENSG00000124160"
"48317","NCOA6","U3",-3.598992269,"ENSG00000198646"
"48318","NCOA7","U3",-3.07646833,"ENSG00000111912"
"48319","NCS1","U3",-3.527056159,"ENSG00000107130"
"48320","NDFIP1","U3",-3.296679422,"ENSG00000131507"
"48321","NDFIP2","U3",-2.977403605,"ENSG00000102471"
"48323","NDNL2","U3",-1.387049404,"ENSG00000282130"
"48324","NDRG1","U3",-2.587846453,"ENSG00000104419"
"48325","NDRG2","U3",-2.089220475,"ENSG00000165795"
"48326","NDRG3","U3",-3.874087282,"ENSG00000101079"
"48327","NDRG4","U3",-4.079661625,"ENSG00000103034"
"48328","NDST1","U3",-1.865537552,"ENSG00000070614"
"48329","NDUFA10","U3",-4.113611528,"ENSG00000130414"
"48330","NDUFA12","U3",-3.837798011,"ENSG00000184752"
"48333","NDUFA3","U3",1.069761653,"ENSG00000170906"
"48335","NDUFA5","U3",-1.09345544,"ENSG00000128609"
"48336","NDUFA6.AS1","U3",-2.244334463,NA
"48337","NDUFA6","U3",1.404187536,"ENSG00000184983"
"48339","NDUFA9P1","U3",1.783600997,"ENSG00000237406"
"48340","NDUFAB1","U3",-3.61156602,"ENSG00000004779"
"48341","NDUFAF2","U3",2.332956926,"ENSG00000164182"
"48342","NDUFAF5","U3",-2.631642508,"ENSG00000101247"
"48343","NDUFAF6","U3",2.018266673,"ENSG00000156170"
"48344","NDUFAF7","U3",1.512571081,"ENSG00000003509"
"48345","NDUFB10","U3",-2.243292034,"ENSG00000140990"
"48346","NDUFB11","U3",-3.592337869,"ENSG00000147123"
"48347","NDUFB2","U3",-1.11413789,"ENSG00000090266"
"48348","NDUFB3","U3",-3.274184021,"ENSG00000119013"
"48351","NDUFB6","U3",-3.674148604,"ENSG00000165264"
"48352","NDUFB7","U3",-2.569826576,"ENSG00000099795"
"48354","NDUFB9","U3",-3.135427877,"ENSG00000147684"
"48355","NDUFC1","U3",-3.349120583,"ENSG00000109390"
"48356","NDUFC2","U3",-3.349499891,"ENSG00000151366"
"48357","NDUFS1","U3",-4.503571028,"ENSG00000023228"
"48358","NDUFS2","U3",-3.01731601,"ENSG00000158864"
"48359","NDUFS3","U3",-3.251358785,"ENSG00000213619"
"48360","NDUFS4","U3",-3.792214962,"ENSG00000164258"
"48361","NDUFS5","U3",-4.093901742,"ENSG00000168653"
"48362","NDUFS6","U3",-2.218404894,"ENSG00000145494"
"48363","NDUFS8","U3",-3.082264041,"ENSG00000110717"
"48364","NDUFV1","U3",-1.78840145,"ENSG00000167792"
"48365","NDUFV2","U3",-1.872319982,"ENSG00000178127"
"48366","NEAT1","U3",-4.513621603,"ENSG00000245532"
"48367","NECAP1","U3",-4.208739178,"ENSG00000089818"
"48368","NECAP2","U3",2.087763206,"ENSG00000157191"
"48370","NEDD9","U3",-3.783930344,"ENSG00000111859"
"48371","NEFM","U3",-2.818691682,"ENSG00000104722"
"48372","NEIL2","U3",-2.601902595,"ENSG00000154328"
"48373","NEK11","U3",-2.577853996,"ENSG00000114670"
"48375","NEK4","U3",-1.042292167,"ENSG00000114904"
"48376","NEK5","U3",-2.718560265,"ENSG00000197168"
"48377","NELFCD","U3",-3.700444869,"ENSG00000101158"
"48378","NELFE","U3",-1.306815808,"ENSG00000204356"
"48379","NELL2","U3",-1.358787531,"ENSG00000184613"
"48381","NEO1","U3",-4.18193484,"ENSG00000067141"
"48382","NES","U3",-2.836378278,"ENSG00000132688"
"48383","NET1","U3",-1.642105192,"ENSG00000173848"
"48384","NETO1","U3",-1.162985042,"ENSG00000166342"
"48385","NETO2","U3",-4.260398954,"ENSG00000171208"
"48386","NEUROD6","U3",-6.107642741,"ENSG00000164600"
"48387","NF1","U3",-3.282107876,"ENSG00000196712"
"48389","NFASC","U3",-3.841972475,"ENSG00000163531"
"48390","NFAT5","U3",-3.117957475,"ENSG00000102908"
"48392","NFATC2","U3",-2.466852366,"ENSG00000101096"
"48394","NFATC3","U3",2.531109736,"ENSG00000072736"
"48395","NFE2L1","U3",-2.478147537,"ENSG00000082641"
"48397","NFIA","U3",-5.132366806,"ENSG00000162599"
"48398","NFIB","U3",-4.868959915,"ENSG00000147862"
"48399","NFIL3","U3",3.005804445,"ENSG00000165030"
"48400","NFIX","U3",-3.934246738,"ENSG00000008441"
"48401","NFKB1","U3",-2.839821938,"ENSG00000109320"
"48404","NFRKB","U3",2.132485043,"ENSG00000170322"
"48405","NFX1","U3",-4.050502674,"ENSG00000086102"
"48406","NFXL1","U3",-2.994023539,"ENSG00000170448"
"48407","NFYB","U3",-2.130618365,"ENSG00000120837"
"48410","NGFRAP1","U3",-4.630830035,"ENSG00000166681"
"48411","NGLY1","U3",-3.92685768,"ENSG00000151092"
"48412","NGRN","U3",-3.653836792,"ENSG00000182768"
"48413","NHLRC2","U3",-4.117525676,"ENSG00000196865"
"48414","NHP2","U3",-1.428114688,"ENSG00000145912"
"48415","NHP2L1","U3",-1.162133988,"ENSG00000100138"
"48417","NICN1","U3",-2.690431911,"ENSG00000145029"
"48419","NIFK","U3",-3.396410349,"ENSG00000155438"
"48420","NIM1K","U3",-1.955499906,"ENSG00000177453"
"48421","NIN","U3",-4.105216927,"ENSG00000100503"
"48422","NINL","U3",1.03257994,"ENSG00000101004"
"48423","NIP7","U3",-2.107192686,"ENSG00000132603"
"48424","NIPBL","U3",-3.944792507,"ENSG00000164190"
"48425","NIPSNAP1","U3",-3.337883343,"ENSG00000184117"
"48426","NISCH","U3",-1.177184272,"ENSG00000010322"
"48427","NIT1","U3",-2.877223521,"ENSG00000158793"
"48428","NIT2","U3",-3.005014689,"ENSG00000114021"
"48429","NKAIN1","U3",-3.538399286,"ENSG00000084628"
"48430","NKAIN3","U3",-2.660545989,"ENSG00000185942"
"48431","NKAP","U3",-2.494081884,"ENSG00000101882"
"48432","NKIRAS1","U3",1.579861781,"ENSG00000197885"
"48433","NKIRAS2","U3",-3.306060913,"ENSG00000168256"
"48434","NKTR","U3",-1.666735095,"ENSG00000114857"
"48435","NKX2.1","U3",-2.57295319,NA
"48436","NLGN1","U3",-4.153331544,"ENSG00000169760"
"48437","NLGN2","U3",-2.349176718,"ENSG00000169992"
"48438","NLGN3","U3",-3.219712891,"ENSG00000196338"
"48439","NLGN4X","U3",-3.98202579,"ENSG00000146938"
"48440","NLK","U3",-2.947708835,"ENSG00000087095"
"48441","NMD3","U3",-2.567305427,"ENSG00000169251"
"48443","NME4","U3",-2.162980381,"ENSG00000103202"
"48444","NME7","U3",-4.418400132,"ENSG00000143156"
"48445","NMNAT2","U3",-3.417414398,"ENSG00000157064"
"48446","NMRK1","U3",-2.384322643,"ENSG00000106733"
"48447","NMT1","U3",-3.071698077,"ENSG00000136448"
"48448","NMT2","U3",-3.413916699,"ENSG00000152465"
"48449","NNAT","U3",-3.479911728,"ENSG00000053438"
"48450","NNT.AS1","U3",-3.926764652,NA
"48451","NNT","U3",-4.509695224,"ENSG00000112992"
"48452","NOB1","U3",-2.253308589,"ENSG00000141101"
"48453","NOC2L","U3",-2.295738969,"ENSG00000188976"
"48454","NOC3L","U3",-3.088065981,"ENSG00000173145"
"48455","NOL10","U3",-1.543354793,"ENSG00000115761"
"48456","NOL11","U3",-4.796663764,"ENSG00000130935"
"48458","NOL6","U3",-2.614864442,"ENSG00000165271"
"48459","NOL8","U3",1.097801347,"ENSG00000198000"
"48460","NOL9","U3",-3.404532097,"ENSG00000162408"
"48461","NOLC1","U3",-4.244352138,"ENSG00000166197"
"48462","NOM1","U3",-2.350224961,"ENSG00000146909"
"48463","NOMO1","U3",-2.235224387,"ENSG00000103512"
"48465","NOP10","U3",-3.25898233,"ENSG00000182117"
"48466","NOP2","U3",-3.195850832,"ENSG00000111641"
"48468","NOP58","U3",1.63322345,"ENSG00000055044"
"48469","NOS1AP","U3",-3.025631615,"ENSG00000198929"
"48470","NOSIP","U3",-1.521735767,"ENSG00000142546"
"48471","NOTCH2","U3",-3.245862079,"ENSG00000134250"
"48472","NOVA1","U3",-1.691067812,"ENSG00000139910"
"48473","NOVA2","U3",-3.74974826,"ENSG00000104967"
"48474","NPAS3","U3",-4.285774871,"ENSG00000151322"
"48475","NPC1","U3",-3.572899943,"ENSG00000141458"
"48476","NPDC1","U3",-1.306294924,"ENSG00000107281"
"48477","NPIPA1","U3",-2.337634603,"ENSG00000183426"
"48478","NPIPA5","U3",-1.709562558,"ENSG00000183793"
"48479","NPIPA8","U3",-1.192952158,"ENSG00000214940"
"48481","NPRL2","U3",-3.487843564,"ENSG00000114388"
"48482","NPY","U3",-3.257791306,"ENSG00000122585"
"48483","NQO2","U3",1.461480821,"ENSG00000124588"
"48484","NR1D2","U3",2.32801287,"ENSG00000174738"
"48485","NR1H3","U3",-1.397471834,"ENSG00000025434"
"48486","NR2C1","U3",2.683187418,"ENSG00000120798"
"48488","NR2E1","U3",-2.604102672,"ENSG00000112333"
"48490","NR2F1","U3",-2.535118718,"ENSG00000175745"
"48491","NR3C1","U3",-1.434522455,"ENSG00000113580"
"48492","NR4A2","U3",1.543625552,"ENSG00000153234"
"48493","NR4A3","U3",-2.985618457,"ENSG00000119508"
"48494","NR6A1","U3",3.891577555,"ENSG00000148200"
"48495","NRAS","U3",-4.112755783,"ENSG00000213281"
"48496","NRBF2","U3",-3.324783367,"ENSG00000148572"
"48497","NRBP1","U3",-3.31125,"ENSG00000115216"
"48498","NRBP2","U3",-3.334345008,"ENSG00000185189"
"48499","NRCAM","U3",-3.579924536,"ENSG00000091129"
"48500","NRD1","U3",-3.526367286,"ENSG00000078618"
"48502","NREP","U3",-1.679897614,"ENSG00000134986"
"48503","NRF1","U3",-3.217521916,"ENSG00000106459"
"48504","NRG1","U3",-3.998060678,"ENSG00000157168"
"48505","NRIP1","U3",-4.373075941,"ENSG00000180530"
"48506","NRIP2","U3",-1.851176319,"ENSG00000053702"
"48507","NRP1","U3",-5.147169426,"ENSG00000099250"
"48508","NRSN1","U3",-3.464012425,"ENSG00000152954"
"48509","NRXN1","U3",-4.798626417,"ENSG00000179915"
"48510","NRXN3","U3",-3.980832763,"ENSG00000021645"
"48511","NSA2","U3",-2.589165201,"ENSG00000164346"
"48513","NSDHL","U3",-2.455039553,"ENSG00000147383"
"48514","NSFL1C","U3",-3.49739322,"ENSG00000088833"
"48515","NSMAF","U3",-3.817506161,"ENSG00000035681"
"48516","NSMCE1","U3",-3.380916304,"ENSG00000169189"
"48517","NSMCE4A","U3",-2.53464921,"ENSG00000107672"
"48519","NSUN2","U3",-2.97760446,"ENSG00000037474"
"48520","NT5C3A","U3",-1.55332672,"ENSG00000122643"
"48521","NT5C3B","U3",-2.428123994,"ENSG00000141698"
"48522","NT5DC2","U3",-3.167603508,"ENSG00000168268"
"48523","NTM","U3",-4.537884868,"ENSG00000182667"
"48524","NTRK2","U3",-2.573814114,"ENSG00000148053"
"48525","NTRK3","U3",-3.625253251,"ENSG00000140538"
"48526","NUAK1","U3",-3.293516269,"ENSG00000074590"
"48527","NUAK2","U3",-1.598167907,"ENSG00000163545"
"48528","NUB1","U3",-3.617290262,"ENSG00000013374"
"48529","NUBPL","U3",-3.37031929,"ENSG00000151413"
"48530","NUCB2","U3",-4.050082884,"ENSG00000070081"
"48531","NUCKS1","U3",1.88069026,"ENSG00000069275"
"48532","NUDC","U3",2.613395213,"ENSG00000090273"
"48533","NUDCD3","U3",-4.073182941,"ENSG00000015676"
"48534","NUDT10","U3",-2.483455878,"ENSG00000122824"
"48535","NUDT11","U3",-3.595566129,"ENSG00000196368"
"48536","NUDT15","U3",-2.837444725,"ENSG00000136159"
"48537","NUDT19","U3",1.023810395,"ENSG00000213965"
"48538","NUDT2","U3",-1.691045894,"ENSG00000164978"
"48539","NUDT21","U3",-4.831920277,"ENSG00000167005"
"48540","NUDT3","U3",-5.174352828,"ENSG00000272325"
"48541","NUFIP1","U3",-2.153373106,"ENSG00000083635"
"48542","NUFIP2","U3",-3.566914094,"ENSG00000108256"
"48543","NUMA1","U3",-3.426384128,"ENSG00000137497"
"48545","NUP107","U3",-4.331723382,"ENSG00000111581"
"48546","NUP133","U3",-3.367203744,"ENSG00000069248"
"48547","NUP153","U3",-3.491071781,"ENSG00000124789"
"48549","NUP160","U3",-4.188569233,"ENSG00000030066"
"48550","NUP188","U3",-1.201421781,"ENSG00000095319"
"48551","NUP205","U3",-3.894029371,"ENSG00000155561"
"48553","NUP35","U3",-1.120475952,"ENSG00000163002"
"48554","NUP50","U3",1.365720118,"ENSG00000093000"
"48555","NUP54","U3",2.101128419,"ENSG00000138750"
"48556","NUP62","U3",-3.830929712,"ENSG00000213024"
"48557","NUP85","U3",-2.773544417,"ENSG00000125450"
"48560","NUPL2","U3",-3.418715158,"ENSG00000136243"
"48562","NUTM2A.AS1","U3",-3.257773057,NA
"48564","NXN","U3",-3.619331181,"ENSG00000167693"
"48565","NXPH1","U3",-3.274309565,"ENSG00000122584"
"48566","NYAP2","U3",-2.40636851,"ENSG00000144460"
"48569","OAZ1","U3",-3.697136808,"ENSG00000104904"
"48570","OAZ2","U3",-3.81814775,"ENSG00000180304"
"48571","OBSCN","U3",-1.871219251,"ENSG00000154358"
"48572","OCIAD1","U3",-4.567649222,"ENSG00000109180"
